#断面首尾端点坐标
148,647875.4099,3204313.2537,2.1300
149,647880.2621,3204299.7414,1.9200
150,647905.1818,3204192.6706,2.2500
151,647900.8272,3204207.2701,2.1300
152,647897.3362,3204218.7812,1.9200
153,647884.4988,3204275.1927,-0.5300
154,647889.7084,3204252.2236,0.3200
155,647888.2881,3204258.4306,-0.4500
156,647886.6532,3204263.8271,-1.2237
157,647584.6685,3204249.5354,-0.0039
158,647586.5820,3204237.7884,0.3100
159,647585.1160,3204244.3256,0.0100
160,647585.7055,3204194.6847,2.1450
161,647587.6062,3204213.9456,1.8400
162,647586.3237,3204203.2337,2.0300
163,647256.5284,3204277.7831,1.8900
164,647264.6875,3204264.1997,1.3500
165,647260.5611,3204270.1015,1.6400
166,647252.2223,3204284.5167,2.1626
167,647302.5893,3204168.8472,2.0400
168,647291.9788,3204202.9259,1.7400
169,647296.8370,3204185.4483,1.9100
170,647029.0499,3204045.5376,2.0400
171,647018.4395,3204079.6163,1.7400
172,647023.2977,3204062.1387,1.9100
173,647003.6973,3204134.7299,1.6300
174,646630.7196,3203969.2033,2.0100
175,646608.5927,3204006.1356,1.5900
176,646314.3764,3203853.9127,1.6200
177,646299.9461,3203883.0613,1.1400
178,646305.1248,3203874.8932,0.4405
179,644272.5020,3202808.0739,0.3000
180,644272.0951,3202809.2648,0.2000
181,644270.9325,3202810.8042,0.1800
182,644269.9443,3202812.7212,0.2100
183,650853.2791,3200436.7320,0.8900
184,650852.4833,3200433.7841,0.5300
185,650851.1335,3200431.2790,0.2100
186,650849.4052,3200428.4242,-0.2300
187,650845.7284,3200416.6462,1.3200
188,650846.7673,3200419.5930,0.9500
189,650847.6072,3200421.8254,0.4500
190,650848.2885,3200424.3720,0.0400
191,650848.6363,3200426.1750,-0.3200
192,650572.0163,3200578.1976,-0.1200
193,650572.0964,3200579.4789,-0.1200
194,650572.1098,3200580.5733,0.3300
195,649645.9698,3200771.6027,0.8981
196,649640.3231,3200764.3138,0.8981
197,649637.4279,3200760.6848,0.8981
198,649600.9178,3200721.8444,1.0515
199,649594.5861,3200718.0655,1.0515
200,649606.5313,3200726.6920,1.0922
